CNAG_02944 CNC05540
CNAG_03295 CNG02820
CNAG_01751 CNC02530
CNAG_04737 CNJ01670
CNAG_02220 CNE03200
CNAG_04606 CNJ00470
CNAG_05717 CNF02570
CNAG_07699 CNF00230
CNAG_06628 CNF03900
CNAG_06570 CNF04470
CNAG_02590 CNK00780
CNAG_00596 CNA05790
CNAG_06752 CNB00510
CNAG_04353 CNI01970
CNAG_06098 CNM01050
CNAG_03420 CNG01640
CNAG_07871 CNH00290
CNAG_03883 CNA07080
CNAG_06877 CNG04710
CNAG_04993 CNL06210
CNAG_05256 CNH03740
CNAG_03837 CNB03250
CNAG_06259 CNN00150
CNAG_01592 CNC01050
CNAG_05867 CNF01060
CNAG_06835 CND06160
CNAG_01567 CNC00820
CNAG_01102 CND02280
CNAG_05444 CNH01100
CNAG_05183 CNL04430
CNAG_06967 CNG00030
CNAG_04458 CNI01000
CNAG_04931 CNM02570
CNAG_02088 CNE04470
CNAG_02848 CNC04640
CNAG_02283 CNE02630
CNAG_02444 CNE01140
CNAG_06051 CNM00610
CNAG_06529 CNF04900
CNAG_00164 CNA01520
CNAG_01499 CNC06810
CNAG_02311 CNE02350
CNAG_02561 CNK00540
CNAG_07519 CNC04510
CNAG_06253 CNM02540
CNAG_06241 CNM02420
CNAG_00723 CNA07020
CNAG_06239 CNM02400
CNAG_04461 CNI00970
CNAG_05255 CNL03750
CNAG_03463 CNG01260
CNAG_06360 CNN00860
CNAG_03146 CNG04200
CNAG_06188 CNM01880
CNAG_00832 CNA08110
CNAG_04714 CNJ01450
CNAG_04949 CNL06660
CNAG_01239 CND03580
CNAG_03010 CNC06210
CNAG_04345 CNI02050
CNAG_01940 CNK02760
CNAG_05300 CNH03310
CNAG_01588 CNC01010
CNAG_01002 CND01310
CNAG_02681 CNK01690
CNAG_04286 CNI02630
CNAG_00709 CNA06880
CNAG_04598 CNJ00370
CNAG_05193 CNL04350
CNAG_01076 CND02040
CNAG_03046 CNC00420
CNAG_02087 CNE04480
CNAG_07830 CNH03100
CNAG_03431 CNG01550
CNAG_03992 CNB04780
CNAG_06820 CND06020
CNAG_01380 CND04930
CNAG_05835 CNF01440
CNAG_00068 CNA00590
CNAG_04142 CNI02800
CNAG_02354 CNE01960
CNAG_03212 CNG03610
CNAG_01481 CNC06980
CNAG_06169 CNM01710
CNAG_03242 CNG03310
CNAG_02161 CNE03770
CNAG_02397 CNE01580
CNAG_04520 CNI00370
CNAG_01180 CND03050
CNAG_06867 CNE05240
CNAG_07564 CNK01020
CNAG_04784 CNJ02110
CNAG_04455 CNI01020
CNAG_04351 CNI01990
CNAG_02940 CNC05500
CNAG_00373 CNA03300
CNAG_01537 CNC06460
CNAG_03002 CNC06120
CNAG_01286 CND04060
CNAG_04704 CNJ01360
CNAG_02661 CNK01510
CNAG_02452 CNE01070
CNAG_05352 CNH00180
CNAG_07482 CNB03690
CNAG_00797 CNA07740
CNAG_02546 CNE00200
CNAG_00827 CNA08060
CNAG_05813 CNF01660
CNAG_00815 CNA07920
CNAG_00276 CNA02640
CNAG_06539 CNF04780
CNAG_02757 CNC03790
CNAG_02826 CNC04430
CNAG_06504 CNN02290
CNAG_01262 CND03830
CNAG_01031 CND01620
CNAG_01536 CNC06470
CNAG_02132 CNE04040
CNAG_03427 CNG01590
CNAG_01022 CND01520
CNAG_04291 CNI02570
CNAG_07551 CNK01190
CNAG_07335 CNA02050
CNAG_06666 CNF03530
CNAG_05169 CNL04570
CNAG_04969 CNL06460
CNAG_03963 CNB04520
CNAG_05187 CNL04400
CNAG_01495 CNC06850
CNAG_07798 CNL06500
CNAG_02349 CNE02010
CNAG_02683 CNK01710
CNAG_04449 CNI01080
CNAG_04283 CNI02660
CNAG_01760 CNC02610
CNAG_04349 CNI02010
CNAG_03078 CNC00130
CNAG_07780 CNI00090
CNAG_06814 CND05950
CNAG_04326 CNI02230
CNAG_07855 CNJ01380
CNAG_03047 CNC00410
CNAG_05833 CNF01460
CNAG_03259 CNG03170
CNAG_00141 CNA01280
CNAG_07641 CNE02730
CNAG_06449 CNN01740
CNAG_07765 CNI01580
CNAG_04094 CNB05730
CNAG_06875 CNE05340
CNAG_07612 CNK02270
CNAG_07513 CNC05180
CNAG_03889 CNB03770
CNAG_03695 CNB01930
CNAG_02781 CNC03990
CNAG_07730 CNG01580
CNAG_05104 CNL05170
CNAG_01954 CNK02930
CNAG_02255 CNE02900
CNAG_07604 CNC02670
CNAG_05021 CNL05960
CNAG_06204 CNM02030
