Entry	Gene names	Gene names  (synonym )	Protein names	Gene names  (primary )	Gene names  (ORF )	Gene names  (ordered locus )	Entry name	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (GO)	Gene ontology (molecular function)	Gene ontology IDs
J9VF33	MDR1 CNAG_00796		ABC multidrug transporter MDR1	MDR1	CNAG_00796		MDR1_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; ATPase-coupled transmembrane transporter activity [GO:0042626]	ATPase-coupled transmembrane transporter activity [GO:0042626]; ATP binding [GO:0005524]	GO:0005524; GO:0016021; GO:0042626
J9VJ99	PFA4 CNAG_03981		Palmitoyltransferase PFA4 (EC 2.3.1.225) (Protein S-acyltransferase) (PAT) (Protein fatty acyltransferase 4)	PFA4	CNAG_03981		PFA4_CRYNH	establishment of protein localization to plasma membrane [GO:0061951]; protein palmitoylation [GO:0018345]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; palmitoyltransferase activity [GO:0016409]; protein-cysteine S-palmitoyltransferase activity [GO:0019706]; establishment of protein localization to plasma membrane [GO:0061951]; protein palmitoylation [GO:0018345]	palmitoyltransferase activity [GO:0016409]; protein-cysteine S-palmitoyltransferase activity [GO:0019706]	GO:0005789; GO:0016021; GO:0016409; GO:0018345; GO:0019706; GO:0061951
J9VQ03	NOG2 CNAG_07413		Nucleolar GTP-binding protein 2	NOG2	CNAG_07413		NOG2_CRYNH	ribosome biogenesis [GO:0042254]	nucleolus [GO:0005730]	nucleolus [GO:0005730]; GTP binding [GO:0005525]; ribosome biogenesis [GO:0042254]	GTP binding [GO:0005525]	GO:0005525; GO:0005730; GO:0042254
J9VT48	MKT1 CNAG_04808		Post-transcriptional regulator MKT1 (Inactive endonuclease MKT1)	MKT1	CNAG_04808		MKT1_CRYNH	regulation of translation [GO:0006417]	cytosol [GO:0005829]	cytosol [GO:0005829]; nuclease activity [GO:0004518]; regulation of translation [GO:0006417]	nuclease activity [GO:0004518]	GO:0004518; GO:0005829; GO:0006417
J9VPD8	QCR2 CNAG_05179		Cytochrome b-c1 complex subunit 2, mitochondrial	QCR2	CNAG_05179		QCR2_CRYNH	mitochondrial electron transport, ubiquinol to cytochrome c [GO:0006122]	mitochondrial respiratory chain complex III [GO:0005750]	mitochondrial respiratory chain complex III [GO:0005750]; metal ion binding [GO:0046872]; ubiquinol-cytochrome-c reductase activity [GO:0008121]; mitochondrial electron transport, ubiquinol to cytochrome c [GO:0006122]	metal ion binding [GO:0046872]; ubiquinol-cytochrome-c reductase activity [GO:0008121]	GO:0005750; GO:0006122; GO:0008121; GO:0046872
Q56R42	HOG1 CNAG_01523		Mitogen-activated protein kinase HOG1 (MAP kinase HOG1) (EC 2.7.11.24)	HOG1	CNAG_01523		HOG1_CRYNH	stress-activated MAPK cascade [GO:0051403]	cytoplasm [GO:0005737]; nucleus [GO:0005634]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; ATP binding [GO:0005524]; MAP kinase activity [GO:0004707]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; stress-activated MAPK cascade [GO:0051403]	ATP binding [GO:0005524]; MAP kinase activity [GO:0004707]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]	GO:0004707; GO:0005524; GO:0005634; GO:0005737; GO:0051403; GO:0106310; GO:0106311
Q873N0	GWT1 CNAG_04187		GPI-anchored wall transfer protein 1 (EC 2.3.-.-)	GWT1	CNAG_04187		GWT1_CRYNH	GPI anchor biosynthetic process [GO:0006506]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; transferase activity, transferring acyl groups [GO:0016746]; GPI anchor biosynthetic process [GO:0006506]	transferase activity, transferring acyl groups [GO:0016746]	GO:0005789; GO:0006506; GO:0016021; GO:0016746
O13356	CHS1 CNAG_03099		Chitin synthase 1 (EC 2.4.1.16) (Chitin-UDP acetyl-glucosaminyl transferase 1) (Class-IV chitin synthase 1)	CHS1	CNAG_03099		CHS1_CRYNH	cell wall organization [GO:0071555]; fungal-type cell wall chitin biosynthetic process [GO:0034221]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; chitin synthase activity [GO:0004100]; cell wall organization [GO:0071555]; fungal-type cell wall chitin biosynthetic process [GO:0034221]	chitin synthase activity [GO:0004100]	GO:0004100; GO:0005886; GO:0016021; GO:0034221; GO:0071555
J9VNT4	CHS5 CNAG_05818		Chitin synthase 5 (EC 2.4.1.16)	CHS5	CNAG_05818		CHS5_CRYNH	cell wall organization [GO:0071555]; fungal-type cell wall chitin biosynthetic process [GO:0034221]	integral component of membrane [GO:0016021]; myosin complex [GO:0016459]; plasma membrane [GO:0005886]	integral component of membrane [GO:0016021]; myosin complex [GO:0016459]; plasma membrane [GO:0005886]; actin binding [GO:0003779]; ATP binding [GO:0005524]; chitin synthase activity [GO:0004100]; motor activity [GO:0003774]; cell wall organization [GO:0071555]; fungal-type cell wall chitin biosynthetic process [GO:0034221]	actin binding [GO:0003779]; ATP binding [GO:0005524]; chitin synthase activity [GO:0004100]; motor activity [GO:0003774]	GO:0003774; GO:0003779; GO:0004100; GO:0005524; GO:0005886; GO:0016021; GO:0016459; GO:0034221; GO:0071555
H1AE12	EGC1 CNAG_00623		Glucosylceramidase (EC 3.2.1.45) (Endoglycoceramidase-related protein 1) (EGCrP1) (Glucocerebrosidase)	EGC1	CNAG_00623		EGCR1_CRYNH	cellular metabolic compound salvage [GO:0043094]; glucosylceramide catabolic process [GO:0006680]	integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; glucosylceramidase activity [GO:0004348]; cellular metabolic compound salvage [GO:0043094]; glucosylceramide catabolic process [GO:0006680]	glucosylceramidase activity [GO:0004348]	GO:0004348; GO:0006680; GO:0016021; GO:0043094
J9VWU3	ATM1 CNAG_04358		Iron-sulfur clusters transporter ATM1, mitochondrial (EC 7.-.-.-)	ATM1	CNAG_04358		ATM1_CRYNH	iron ion homeostasis [GO:0055072]; iron-sulfur cluster assembly [GO:0016226]; iron-sulfur cluster export from the mitochondrion [GO:0140466]	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966]	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966]; ATP binding [GO:0005524]; ATPase-coupled transmembrane transporter activity [GO:0042626]; iron ion homeostasis [GO:0055072]; iron-sulfur cluster assembly [GO:0016226]; iron-sulfur cluster export from the mitochondrion [GO:0140466]	ATPase-coupled transmembrane transporter activity [GO:0042626]; ATP binding [GO:0005524]	GO:0005524; GO:0005743; GO:0016021; GO:0016226; GO:0031966; GO:0042626; GO:0055072; GO:0140466
J9VPD7	CDA1 CNAG_05799		Chitin deacetylase 1 (EC 3.5.1.41)	CDA1	CNAG_05799		CDA1_CRYNH	cell wall chitin catabolic process [GO:0006039]; cell wall organization [GO:0071555]; evasion of host immune response [GO:0042783]; fungal-type cell wall biogenesis [GO:0009272]; pathogenesis [GO:0009405]; polysaccharide catabolic process [GO:0000272]	anchored component of membrane [GO:0031225]; extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]; plasma membrane [GO:0005886]	anchored component of membrane [GO:0031225]; extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]; plasma membrane [GO:0005886]; chitin binding [GO:0008061]; chitin deacetylase activity [GO:0004099]; metal ion binding [GO:0046872]; cell wall chitin catabolic process [GO:0006039]; cell wall organization [GO:0071555]; evasion of host immune response [GO:0042783]; fungal-type cell wall biogenesis [GO:0009272]; pathogenesis [GO:0009405]; polysaccharide catabolic process [GO:0000272]	chitin binding [GO:0008061]; chitin deacetylase activity [GO:0004099]; metal ion binding [GO:0046872]	GO:0000272; GO:0004099; GO:0005576; GO:0005886; GO:0006039; GO:0008061; GO:0009272; GO:0009277; GO:0009405; GO:0031225; GO:0042783; GO:0046872; GO:0071555
J9VS56	ANXC1 ANX1 ANXC3.1 CNAG_02415	ANX1 ANXC3.1	Annexin C1	ANXC1	CNAG_02415		ANXC1_CRYNH			calcium ion binding [GO:0005509]; calcium-dependent phospholipid binding [GO:0005544]	calcium-dependent phospholipid binding [GO:0005544]; calcium ion binding [GO:0005509]	GO:0005509; GO:0005544
J9VWH9	CLR4 CNAG_05404		Histone-lysine N-methyltransferase, H3 lysine-9 specific (EC 2.1.1.-) (Histone H3-K9 methyltransferase) (H3-K9-HMTase)	CLR4	CNAG_05404		CLR4_CRYNH		chromosome [GO:0005694]; nucleus [GO:0005634]	chromosome [GO:0005694]; nucleus [GO:0005634]; histone-lysine N-methyltransferase activity [GO:0018024]; zinc ion binding [GO:0008270]	histone-lysine N-methyltransferase activity [GO:0018024]; zinc ion binding [GO:0008270]	GO:0005634; GO:0005694; GO:0008270; GO:0018024
J9VL95	CMT2 CNAG_00306		Copper metallothionein 2 (Cu-MT 2) (Cu-metallothionein 2) (Copper chelatin 2) (Copper thionein 2)	CMT2	CNAG_00306		CMT2_CRYNH		cell cortex [GO:0005938]	cell cortex [GO:0005938]; metal ion binding [GO:0046872]	metal ion binding [GO:0046872]	GO:0005938; GO:0046872
J9VHN6	BIM CNAG_02775		Copper acquisition factor BIM1 (BCS-inducible membrane protein 1) (Lytic polysaccharide monooxygenase-like protein BIM1) (LPMO-like protein BIM1) (EC 1.14.99.-)	BIM	CNAG_02775		BIM1_CRYNH		anchored component of membrane [GO:0031225]; plasma membrane [GO:0005886]	anchored component of membrane [GO:0031225]; plasma membrane [GO:0005886]; metal ion binding [GO:0046872]; monooxygenase activity [GO:0004497]	metal ion binding [GO:0046872]; monooxygenase activity [GO:0004497]	GO:0004497; GO:0005886; GO:0031225; GO:0046872
P82476	CDA3 CNAG_01239		Chitin deacetylase 3 (EC 3.5.1.41)	CDA3	CNAG_01239		CDA3_CRYNH	cell wall chitin catabolic process [GO:0006039]; cell wall organization [GO:0071555]; fungal-type cell wall biogenesis [GO:0009272]; polysaccharide catabolic process [GO:0000272]	anchored component of membrane [GO:0031225]; extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]; plasma membrane [GO:0005886]	anchored component of membrane [GO:0031225]; extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]; plasma membrane [GO:0005886]; chitin binding [GO:0008061]; chitin deacetylase activity [GO:0004099]; metal ion binding [GO:0046872]; cell wall chitin catabolic process [GO:0006039]; cell wall organization [GO:0071555]; fungal-type cell wall biogenesis [GO:0009272]; polysaccharide catabolic process [GO:0000272]	chitin binding [GO:0008061]; chitin deacetylase activity [GO:0004099]; metal ion binding [GO:0046872]	GO:0000272; GO:0004099; GO:0005576; GO:0005886; GO:0006039; GO:0008061; GO:0009272; GO:0009277; GO:0031225; GO:0046872; GO:0071555
Q6URB0	CCP1 CNAG_01138		Cytochrome c peroxidase, mitochondrial (CCP) (EC 1.11.1.5)	CCP1	CNAG_01138		CCPR_CRYNH	response to oxidative stress [GO:0006979]	mitochondrial matrix [GO:0005759]	mitochondrial matrix [GO:0005759]; cytochrome-c peroxidase activity [GO:0004130]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; response to oxidative stress [GO:0006979]	cytochrome-c peroxidase activity [GO:0004130]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	GO:0004130; GO:0005759; GO:0006979; GO:0020037; GO:0046872
J9VGT6	CHS8 CNAG_07499		Chitin synthase 8 (EC 2.4.1.16)	CHS8	CNAG_07499		CHS8_CRYNH	cell wall organization [GO:0071555]; fungal-type cell wall chitin biosynthetic process [GO:0034221]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; chitin synthase activity [GO:0004100]; cell wall organization [GO:0071555]; fungal-type cell wall chitin biosynthetic process [GO:0034221]	chitin synthase activity [GO:0004100]	GO:0004100; GO:0005886; GO:0016021; GO:0034221; GO:0071555
P48465	CNAG_00483		Actin		CNAG_00483		ACT_CRYNH		cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; ATP binding [GO:0005524]	ATP binding [GO:0005524]	GO:0005524; GO:0005737; GO:0005856
J9VT33	CUF1 CNAG_07724		Copper-dependent transcription factor 1	CUF1	CNAG_07724		CUF1_CRYNH		cell cortex [GO:0005938]; nucleus [GO:0005634]	cell cortex [GO:0005938]; nucleus [GO:0005634]; copper ion binding [GO:0005507]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]	copper ion binding [GO:0005507]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]	GO:0000978; GO:0001228; GO:0005507; GO:0005634; GO:0005938
J9W034	CML1 CNAG_05655		Calmodulin-like protein 1	CML1	CNAG_05655		CML1_CRYNH			calcium ion binding [GO:0005509]	calcium ion binding [GO:0005509]	GO:0005509
J9VXB3	CMT1 CNAG_05449		Copper metallothionein 1 (Cu-MT 1) (Cu-metallothionein 1) (Copper chelatin 1) (Copper thionein 1)	CMT1	CNAG_05449		CMT1_CRYNH		cell cortex [GO:0005938]	cell cortex [GO:0005938]; metal ion binding [GO:0046872]	metal ion binding [GO:0046872]	GO:0005938; GO:0046872
J9VE33	CRZ1 SP1 CNAG_00156	SP1	Transcriptional regulator CRZ1	CRZ1	CNAG_00156		CRZ1_CRYNH	calcineurin-mediated signaling [GO:0097720]; pathogenesis [GO:0009405]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transepithelial migration of symbiont in host [GO:0140471]; regulation of fungal-type cell wall organization [GO:0060237]	chromatin [GO:0000785]; cytosol [GO:0005829]; nucleus [GO:0005634]	chromatin [GO:0000785]; cytosol [GO:0005829]; nucleus [GO:0005634]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; calcineurin-mediated signaling [GO:0097720]; pathogenesis [GO:0009405]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transepithelial migration of symbiont in host [GO:0140471]; regulation of fungal-type cell wall organization [GO:0060237]	DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]	GO:0000785; GO:0000978; GO:0001228; GO:0005634; GO:0005829; GO:0009405; GO:0045944; GO:0046872; GO:0060237; GO:0097720; GO:0140471
J9VX37	CTR1 CNAG_07701		CUF1-dependent copper transporter 1 (Copper transporter 1)	CTR1	CNAG_07701		CTR1_CRYNH		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; copper ion transmembrane transporter activity [GO:0005375]	copper ion transmembrane transporter activity [GO:0005375]	GO:0005375; GO:0005886; GO:0016021
O94746	FRR1 CNAG_03682		FK506-binding protein 1 (FKBP) (EC 5.2.1.8) (Peptidyl-prolyl cis-trans isomerase) (PPIase) (Rapamycin-binding protein)	FRR1	CNAG_03682		FKBP_CRYNH		cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]	peptidyl-prolyl cis-trans isomerase activity [GO:0003755]	GO:0003755; GO:0005737
J9VPA2	AFR2 CNAG_00869		ABC multidrug transporter AFR2	AFR2	CNAG_00869		AFR2_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; ATPase-coupled transmembrane transporter activity [GO:0042626]	ATPase-coupled transmembrane transporter activity [GO:0042626]; ATP binding [GO:0005524]	GO:0005524; GO:0016021; GO:0042626
Q9HF03	CLF1 CCN1 CNAG_00694	CCN1	Pre-mRNA-splicing factor CLF1 (crooked-neck-like protein 1)	CLF1	CNAG_00694		CLF1_CRYNH	mRNA processing [GO:0006397]; RNA splicing [GO:0008380]	post-mRNA release spliceosomal complex [GO:0071014]; Prp19 complex [GO:0000974]	post-mRNA release spliceosomal complex [GO:0071014]; Prp19 complex [GO:0000974]; mRNA processing [GO:0006397]; RNA splicing [GO:0008380]		GO:0000974; GO:0006397; GO:0008380; GO:0071014
J9VME1	AFR1 CNAG_00730		ABC multidrug transporter AFR1	AFR1	CNAG_00730		AFR1_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; ATPase-coupled transmembrane transporter activity [GO:0042626]	ATPase-coupled transmembrane transporter activity [GO:0042626]; ATP binding [GO:0005524]	GO:0005524; GO:0016021; GO:0042626
J9VMX7	CHS7 CNAG_02217		Chitin synthase 7 (EC 2.4.1.16)	CHS7	CNAG_02217		CHS7_CRYNH	cell wall organization [GO:0071555]; fungal-type cell wall chitin biosynthetic process [GO:0034221]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; chitin synthase activity [GO:0004100]; cell wall organization [GO:0071555]; fungal-type cell wall chitin biosynthetic process [GO:0034221]	chitin synthase activity [GO:0004100]	GO:0004100; GO:0005886; GO:0016021; GO:0034221; GO:0071555
J9VQQ3	PMC1 CNAG_01232		Calcium-transporting ATPase 2 (EC 7.2.2.10)	PMC1	CNAG_01232		ATC2_CRYNH	calcium ion import into vacuole [GO:0140146]	integral component of membrane [GO:0016021]; vacuolar membrane [GO:0005774]	integral component of membrane [GO:0016021]; vacuolar membrane [GO:0005774]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; P-type calcium transporter activity [GO:0005388]; calcium ion import into vacuole [GO:0140146]	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; P-type calcium transporter activity [GO:0005388]	GO:0005388; GO:0005524; GO:0005774; GO:0016021; GO:0046872; GO:0140146
Q8X226	CAS1 CNAG_07937		Probable O-acetyltransferase CAS1 (EC 2.3.1.-) (Capsule synthesis protein 1)	CAS1	CNAG_07937		CAS1_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; oxidoreductase activity [GO:0016491]; transferase activity [GO:0016740]	oxidoreductase activity [GO:0016491]; transferase activity [GO:0016740]	GO:0016021; GO:0016491; GO:0016740
J9VND2	CDA2 MP98 CNAG_01230	MP98	Chitin deacetylase 2 (EC 3.5.1.41)	CDA2	CNAG_01230		CDA2_CRYNH	cell wall chitin catabolic process [GO:0006039]; cell wall organization [GO:0071555]; fungal-type cell wall biogenesis [GO:0009272]; polysaccharide catabolic process [GO:0000272]	anchored component of membrane [GO:0031225]; extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]; plasma membrane [GO:0005886]	anchored component of membrane [GO:0031225]; extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]; plasma membrane [GO:0005886]; chitin binding [GO:0008061]; chitin deacetylase activity [GO:0004099]; metal ion binding [GO:0046872]; cell wall chitin catabolic process [GO:0006039]; cell wall organization [GO:0071555]; fungal-type cell wall biogenesis [GO:0009272]; polysaccharide catabolic process [GO:0000272]	chitin binding [GO:0008061]; chitin deacetylase activity [GO:0004099]; metal ion binding [GO:0046872]	GO:0000272; GO:0004099; GO:0005576; GO:0005886; GO:0006039; GO:0008061; GO:0009272; GO:0009277; GO:0031225; GO:0046872; GO:0071555
J9VXM5	CHS3 CNAG_05581		Chitin synthase 3 (EC 2.4.1.16) (Chitin-UDP acetyl-glucosaminyl transferase 3) (Class-IV chitin synthase 3)	CHS3	CNAG_05581		CHS3_CRYNH	cell wall organization [GO:0071555]; fungal-type cell wall chitin biosynthetic process [GO:0034221]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; chitin synthase activity [GO:0004100]; cell wall organization [GO:0071555]; fungal-type cell wall chitin biosynthetic process [GO:0034221]	chitin synthase activity [GO:0004100]	GO:0004100; GO:0005886; GO:0016021; GO:0034221; GO:0071555
Q6SSJ3	ILV2 CNAG_00268		Acetolactate synthase, mitochondrial (EC 2.2.1.6) (AHAS) (ALS) (Acetohydroxy-acid synthase)	ILV2	CNAG_00268		ILVB_CRYNH	isoleucine biosynthetic process [GO:0009097]; valine biosynthetic process [GO:0009099]	mitochondrion [GO:0005739]	mitochondrion [GO:0005739]; acetolactate synthase activity [GO:0003984]; flavin adenine dinucleotide binding [GO:0050660]; magnesium ion binding [GO:0000287]; thiamine pyrophosphate binding [GO:0030976]; isoleucine biosynthetic process [GO:0009097]; valine biosynthetic process [GO:0009099]	acetolactate synthase activity [GO:0003984]; flavin adenine dinucleotide binding [GO:0050660]; magnesium ion binding [GO:0000287]; thiamine pyrophosphate binding [GO:0030976]	GO:0000287; GO:0003984; GO:0005739; GO:0009097; GO:0009099; GO:0030976; GO:0050660
J9VWT0	CHS6 CNAG_06487		Chitin synthase 6 (EC 2.4.1.16)	CHS6	CNAG_06487		CHS6_CRYNH	cell wall organization [GO:0071555]; fungal-type cell wall chitin biosynthetic process [GO:0034221]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; chitin synthase activity [GO:0004100]; cell wall organization [GO:0071555]; fungal-type cell wall chitin biosynthetic process [GO:0034221]	chitin synthase activity [GO:0004100]	GO:0004100; GO:0005886; GO:0016021; GO:0034221; GO:0071555
J9VEC2	yap1 CNAG_00239		AP-1-like transcription factor yap1 (BZIP domain-containing transcription factor yap1)	yap1	CNAG_00239		AP1_CRYNH		cytoplasm [GO:0005737]; nucleus [GO:0005634]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	GO:0003677; GO:0003700; GO:0005634; GO:0005737
